999999	133236.068545	1675534068.603846
1049999	128992.491554	1901036878.147914
1099999	145506.130159	1945656925.687348
1149999	136485.551753	1919521005.056158
1199999	125577.325375	1946376934.970477
1249999	121854.310167	1928739473.765019
1299999	124106.609610	1923056011.329667
1349999	178450.297299	2113850055.994687
1399999	123387.470943	2066482301.907378
1449999	146790.311768	2022538245.839076
1499999	122863.697726	2003290912.434677
1549999	156706.845235	1987064597.552134
1599999	122874.240792	1975369379.825257
1649999	150779.438613	2334921694.697837
1699999	197934.119734	2573023775.652453
1749999	200346.915705	2708125334.254173
1799999	250767.827261	2928321895.618429
1849999	197856.792790	3086968620.070561
1899999	197526.240063	3185974246.903968
1949999	201951.950968	3254838073.681922
1999999	197748.850064	3359503453.939664
